org_id,org_name,service_type,org_email,org_descr_en,state_code,org_url,org_phone_no,org_address,operation_hour,org_en,tag
1,Doctors Without Borders,Health & Wellbeing,info@apac.msf.org,"Medical care and outreach for undocumented migrants in Malaysia, with mobile clinics, referrals and mental-health support.",7,https://doctorswithoutborders-apac.org/en,No contact number,Mobile clinics - locations vary by schedule across Penang (see programme notices).,Clinic schedules announced online,Doctors Without Borders/Mdecins Sans Frontires (MSF) (Doctors Without Borders),"NGO, mobile clinic, community health, refugees, asylum seekers, undocumented, mental health, outreach, free"
2,FWCMS One Stop Center (Putrajaya),Work,bestinetintls@gmail.com,"Nationwide coverage; Centralised online system for foreign worker recruitment & permits (quota, calling visa, permit renewal, exit memo). Worker-facing at FSSC: eComplaints for employer abuse; call centre for guidance.",16,https://fwcms.com.my/,+603-868 9282,"A2-1-1, 1st Floor, Kompleks Perniagaan Ayer@8, Jalan P8G, Presint 8, 62000 Putrajaya, Malaysia.",Monday-Friday 09:00-18:00,FWCMS One Stop Center (Putrajaya),"eVDR, ePLKS, eCOM, eComplaints, eWages, employer process, hotline, appointment"
3,Food Aid Foundation,Other Support,info@foodaidfoundation.org,"Malaysian non-profit food bank rescuing surplus food from companies and individuals, and redistributing it to welfare homes, refugee communities, low-income families, the homeless, and soup kitchens.",14,http://foodaidfoundation.org/,+603-922 6550,"No. 9 Jalan 7/118B, Desa Tun Razak, Cheras, â 56000 Kuala Lumpur, Malaysia",Monday-Friday 09:00-17:00; Saturday 09:00-13:00,Food Aid Foundation,"NGO, food aid, food security, community support, free"
4,"Foreign Spouses Support Group, Malaysia",Other Support,community@familyfrontiers.org,"Malaysian support group established in 2009 to advance and protect the rights of foreign spouses of Malaysian citizens and their children. Provides advocacy, peer support, and guidance on legal status, residency, and family welfare.  ",10,https://www.facebook.com/FSSGMY/,No contact number,Online-based (no physical office)  ,"No information available, contact for more detail","Foreign Spouses Support Group, Malaysia","NGO, advocacy, legal aid, family support, free"
5,General Federation of Nepalese Trade Unions (GEFONT),Work,dfa@gefont.org,"Nepal's largest trade union confederation established in 1989, representing over 449,000 workers across agriculture, industry, and services. GEFONT advocates for labour rights, union organising, and migrant worker protection, and is affiliated with international trade union bodies including ITUC. ",10,https://gefont.org/,+977 1-4168000,"P82C+XJH, Kathmandu 44600, Nepal",Monday-Sunday 09:00-17:00,General Federation of Nepalese Trade Unions (GEFONT),"union, advocacy, labour rights, worker protection, Nepalese migrant focus"
6,Health Equity Initiatives (HEI),Health & Wellbeing,"Not available, please contact via phone number","Malaysian NGO providing free, culturally-sensitive physical and mental health services-including counselling, health education, and community outreach-for refugees, asylum seekers, and migrant workers. HEI also engages in advocacy and research to promote equitable healthcare access.",14,https://www.healthequityinitiatives.org/,+603-227 2495,"26-1A, Jalan Vivekananda, Brickfields, 50470 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Monday-Friday 09:00-18:00,Health Equity Initiatives (HEI),"NGO, health, mental health, counselling, advocacy, free"
7,Integrated Health Outreach Project,Health & Wellbeing,mlslu@unhcr.org,"Primary care and community health support for refugees/asylum-seekers via UNHCR partners (e.g., Malaysian Relief Agency).",14,https://refugeemalaysia.org/support-2/health-services/,+603-211 8480,"570 Jalan Bukit Petaling, 50460 Kuala Lumpur, Malaysia","No information available, contact for more detail",Integrated Health Outreach Project,"NGO, mobile clinic, primary care, health screening, outreach, low cost, walk-in, free"
8,Jabatan Bantuan Guaman Gua Musang,Legal Aid,suriani.rashid@jbg.gov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",3,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+609-912 3688,"Lot 6, Tingkat 1, Bangunan Tabung Haji, Bandar Baru Gua Musang, 18300 GUA MUSANG, KELANTAN","No information available, contact for more detail",Legal Aid Department Gua Musang (Jabatan Bantuan Guaman Gua Musang),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
9,Jabatan Bantuan Guaman Ibu Pejabat (JBG) ,Legal Aid,fuad.aziz@jbg.gov.my,"Headquarters for legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",16,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+603-888 5182,"Aras 1, Bangunan Hal Ehwal Undang Undang, Presint 3, Pusat Pentadbiran Kerajaan Persekutuan, 62692, Wilayah Persekutuan Putrajaya.",Monday-Friday 08:30-16:00,Legal Aid Department Headquarters (Jabatan Bantuan Guaman Ibu Pejabat (JBG)),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
10,Jabatan Bantuan Guaman Johor,Legal Aid,aidatulazura@jbg.gov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",1,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+607-223 4960,"Lot L4-01, Tingkat 4, Menara Landmark, No.12, Jalan Ngee Heng, 80000 Johor Baharu, JOHOR",Sunday-Wednesday 08:00-16:00; Thursday 08:00-15:30,Legal Aid Department Johor (Jabatan Bantuan Guaman Johor),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
11,Jabatan Bantuan Guaman Kelantan,Legal Aid,norhamizah@jbg.gov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",3,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+609-748 2548,"Lot PT84 & PT85, Wisma Mustapha, Seksyen 15, Jalan Sultanah Zainab, 15050 KOTA BHARU, KELANTAN","No information available, contact for more detail",Legal Aid Department Kelantan (Jabatan Bantuan Guaman Kelantan),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
12,Jabatan Bantuan Guaman Langkawi,Legal Aid,faridah.ismail@jbg.gov.my,"Legal aid & emerging public defence for children in criminal cases, regardless of nationality (per 2025 law updates); advice & referrals via JBG offices.",2,https://www.jbg.gov.my/index.php/en/services/legal-aid-services,+604-969 8180,"Lot 10B & 11B, Tingkat Bawah, Kompleks Cayman, Pekan Baru Kuah, 07000 LANGKAWI, KEDAH",Sunday-Wednesday 08:00-17:00; Thursday 08:30-15:30,Legal Aid Department Langkawi (Jabatan Bantuan Guaman Langkawi),"legal aid, children, under 18, criminal, regardless of nationality, public defender, appointment"
